Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
buyer_np,Data representing the buyer np.,"dimension.dim_retail_buyer_np.""buyer_np""",dimension.dim_retail_buyer_np,
updated_date,Timestamp or date indicating when updated date occurred.,"dimension.dim_retail_buyer_np.""updated_date""",dimension.dim_retail_buyer_np,
bnp_mask,Data representing the bnp mask.,"dimension.dim_retail_buyer_np.""bnp_mask""",dimension.dim_retail_buyer_np,
domain,"The ONDC network domain (e.g., retail, logistics).","dimension.dim_retail_buyer_np.""domain""",dimension.dim_retail_buyer_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_retail_buyer_np.""tsp_powered""",dimension.dim_retail_buyer_np,
spoc_email,Data representing the spoc email.,"dimension.dim_retail_buyer_np.""spoc_email""",dimension.dim_retail_buyer_np,
"▼ dim_retail_igm_categories   (base table, 5 cols)",,,dimension.dim_retail_igm_categories,CREATE UNIQUE INDEX dim_retail_igm_categories_pkey ON dimension.dim_retail_igm_categories USING btree (key)
category,Timestamp or date indicating when category occurred.,"dimension.dim_retail_igm_categories.""category""",dimension.dim_retail_igm_categories,
sub_category,Timestamp or date indicating when sub category occurred.,"dimension.dim_retail_igm_categories.""sub_category""",dimension.dim_retail_igm_categories,
enums,Data representing the enums.,"dimension.dim_retail_igm_categories.""enums""",dimension.dim_retail_igm_categories,
main_category,Timestamp or date indicating when main category occurred.,"dimension.dim_retail_igm_categories.""main_category""",dimension.dim_retail_igm_categories,
key,Data representing the key.,"dimension.dim_retail_igm_categories.""key""",dimension.dim_retail_igm_categories,
"▼ dim_retail_seller_np   (base table, 6 cols)",,,dimension.dim_retail_seller_np,CREATE UNIQUE INDEX idx_dim_retail_seller_np_unique ON dimension.dim_retail_seller_np USING btree (seller_np)
seller_np_name,Name of the seller np.,"dimension.dim_retail_seller_np.""seller_np_name""",dimension.dim_retail_seller_np,
seller_np,Data representing the seller np.,"dimension.dim_retail_seller_np.""seller_np""",dimension.dim_retail_seller_np,
updated_date,Timestamp or date indicating when updated date occurred.,"dimension.dim_retail_seller_np.""updated_date""",dimension.dim_retail_seller_np,
snp_mask,Data representing the snp mask.,"dimension.dim_retail_seller_np.""snp_mask""",dimension.dim_retail_seller_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_retail_seller_np.""tsp_powered""",dimension.dim_retail_seller_np,
spoc_email,Data representing the spoc email.,"dimension.dim_retail_seller_np.""spoc_email""",dimension.dim_retail_seller_np,
"▼ dim_retail_tag   (base table, 4 cols)",,,dimension.dim_retail_tag,"CREATE UNIQUE INDEX idx_dim_retail_tag_np_unique ON dimension.dim_retail_tag USING btree (""NP"")"
NP,Data representing the np.,"dimension.dim_retail_tag.""NP""",dimension.dim_retail_tag,
Most likely to churn,Data representing the most likely to churn.,"dimension.dim_retail_tag.""Most likely to churn""",dimension.dim_retail_tag,
Type,Data representing the type.,"dimension.dim_retail_tag.""Type""",dimension.dim_retail_tag,
Category,Timestamp or date indicating when category occurred.,"dimension.dim_retail_tag.""Category""",dimension.dim_retail_tag,
"▼ provider_cred_id_lvl   (materialized view, 6 cols)",,,dimension.provider_cred_id_lvl,"SELECT bpp_id,
    provider_id,
    cred_code,
    cred_short_desc,
    provider_key,
    max(insert_date) AS latest_insert_date
   FROM dimension.dim_provider_cred
  GROUP BY bpp_id, provider_id, cred_code, cred_short_desc, provider_key;"
bpp_id,Unique identifier for the Seller App (BPP).,"dimension.provider_cred_id_lvl.""bpp_id""",dimension.provider_cred_id_lvl,
provider_id,Unique identifier for the provider.,"dimension.provider_cred_id_lvl.""provider_id""",dimension.provider_cred_id_lvl,
cred_code,Data representing the cred code.,"dimension.provider_cred_id_lvl.""cred_code""",dimension.provider_cred_id_lvl,
cred_short_desc,Data representing the cred short desc.,"dimension.provider_cred_id_lvl.""cred_short_desc""",dimension.provider_cred_id_lvl,
provider_key,Unique identifier for provider key.,"dimension.provider_cred_id_lvl.""provider_key""",dimension.provider_cred_id_lvl,
latest_insert_date,Timestamp or date indicating when latest insert date occurred.,"dimension.provider_cred_id_lvl.""latest_insert_date""",dimension.provider_cred_id_lvl,
"▼ provider_cred_social   (materialized view, 5 cols)",,,dimension.provider_cred_social,"SELECT bpp_id,
    provider_id,
    'Social Sector'::text AS cred_code,
    provider_key,
    max(insert_date) AS latest_insert_date
   FROM dimension.dim_provider_cred
  GROUP BY bpp_id, provider_id, provider_key;"
bpp_id,Unique identifier for the Seller App (BPP).,"dimension.provider_cred_social.""bpp_id""",dimension.provider_cred_social,
provider_id,Unique identifier for the provider.,"dimension.provider_cred_social.""provider_id""",dimension.provider_cred_social,
cred_code,Data representing the cred code.,"dimension.provider_cred_social.""cred_code""",dimension.provider_cred_social,
provider_key,Unique identifier for provider key.,"dimension.provider_cred_social.""provider_key""",dimension.provider_cred_social,
latest_insert_date,Timestamp or date indicating when latest insert date occurred.,"dimension.provider_cred_social.""latest_insert_date""",dimension.provider_cred_social,
