Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""seller_state_code""",prod_bkp.logistics_district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod_bkp.logistics_district_level_orders.""total_orders_delivered""",prod_bkp.logistics_district_level_orders,
pincode_count,Indian postal code (pincode).,"prod_bkp.logistics_district_level_orders.""pincode_count""",prod_bkp.logistics_district_level_orders,
intrastate_orders,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""intrastate_orders""",prod_bkp.logistics_district_level_orders,
intradistrict_orders,Data representing the intradistrict orders.,"prod_bkp.logistics_district_level_orders.""intradistrict_orders""",prod_bkp.logistics_district_level_orders,
interstate_orders,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""interstate_orders""",prod_bkp.logistics_district_level_orders,
intrastate_orders_percentage,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""intrastate_orders_percentage""",prod_bkp.logistics_district_level_orders,
intradistrict_orders_percentage,Data representing the intradistrict orders percentage.,"prod_bkp.logistics_district_level_orders.""intradistrict_orders_percentage""",prod_bkp.logistics_district_level_orders,
"▼ logistics_monthly_providers   (base table, 6 cols)",,,prod_bkp.logistics_monthly_providers,"CREATE INDEX logistics_monthly_providers_seller_state_idx ON prod_bkp.logistics_monthly_providers USING btree (seller_state)

CREATE INDEX logistics_monthly_providers_provider_key_idx ON prod_bkp.logistics_monthly_providers USING btree (provider_key)

CREATE INDEX logistics_monthly_providers_seller_district_idx ON prod_bkp.logistics_monthly_providers USING btree (seller_district)"
provider_key,Unique identifier for provider key.,"prod_bkp.logistics_monthly_providers.""provider_key""",prod_bkp.logistics_monthly_providers,
seller_district,Data representing the seller district.,"prod_bkp.logistics_monthly_providers.""seller_district""",prod_bkp.logistics_monthly_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_monthly_providers.""seller_state""",prod_bkp.logistics_monthly_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_monthly_providers.""seller_state_code""",prod_bkp.logistics_monthly_providers,
order_month,Data representing the order month.,"prod_bkp.logistics_monthly_providers.""order_month""",prod_bkp.logistics_monthly_providers,
order_year,Data representing the order year.,"prod_bkp.logistics_monthly_providers.""order_year""",prod_bkp.logistics_monthly_providers,
"▼ logistics_providers   (base table, 5 cols)",,,prod_bkp.logistics_providers,"CREATE INDEX logistics_providers_seller_state_idx ON prod_bkp.logistics_providers USING btree (seller_state)

CREATE INDEX logistics_providers_provider_key_idx ON prod_bkp.logistics_providers USING btree (provider_key)

CREATE INDEX logistics_providers_order_date_idx ON prod_bkp.logistics_providers USING btree (order_date)

CREATE INDEX logistics_providers_seller_district_idx ON prod_bkp.logistics_providers USING btree (seller_district)"
provider_key,Unique identifier for provider key.,"prod_bkp.logistics_providers.""provider_key""",prod_bkp.logistics_providers,
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.logistics_providers.""order_date""",prod_bkp.logistics_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_providers.""seller_state_code""",prod_bkp.logistics_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_providers.""seller_state""",prod_bkp.logistics_providers,
seller_district,Data representing the seller district.,"prod_bkp.logistics_providers.""seller_district""",prod_bkp.logistics_providers,
"▼ monthly_providers   (base table, 6 cols)",,,prod_bkp.monthly_providers,"CREATE INDEX monthly_providers_seller_state_idx ON prod_bkp.monthly_providers USING btree (seller_state)

CREATE INDEX monthly_providers_seller_district_idx ON prod_bkp.monthly_providers USING btree (seller_district)

CREATE INDEX monthly_providers_provider_key_idx ON prod_bkp.monthly_providers USING btree (provider_key)"
provider_key,Unique identifier for provider key.,"prod_bkp.monthly_providers.""provider_key""",prod_bkp.monthly_providers,
seller_district,Data representing the seller district.,"prod_bkp.monthly_providers.""seller_district""",prod_bkp.monthly_providers,
