Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
Linked,Data representing the linked.,"analytics_insight_preprod.logistics_stock_bv.""Linked""",analytics_insight_preprod.logistics_stock_bv,
shipment_type,Data representing the shipment type.,"analytics_insight_preprod.logistics_stock_bv.""shipment_type""",analytics_insight_preprod.logistics_stock_bv,
provider_name,Unique identifier for provider name.,"analytics_insight_preprod.logistics_stock_bv.""provider_name""",analytics_insight_preprod.logistics_stock_bv,
pick_up_pincode,Indian postal code (pincode).,"analytics_insight_preprod.logistics_stock_bv.""pick_up_pincode""",analytics_insight_preprod.logistics_stock_bv,
delivery_pincode,Indian postal code (pincode).,"analytics_insight_preprod.logistics_stock_bv.""delivery_pincode""",analytics_insight_preprod.logistics_stock_bv,
retail_category,Timestamp or date indicating when retail category occurred.,"analytics_insight_preprod.logistics_stock_bv.""retail_category""",analytics_insight_preprod.logistics_stock_bv,
assigned,Data representing the assigned.,"analytics_insight_preprod.logistics_stock_bv.""assigned""",analytics_insight_preprod.logistics_stock_bv,
cancelled_date,Timestamp or date indicating when cancelled date occurred.,"analytics_insight_preprod.logistics_stock_bv.""cancelled_date""",analytics_insight_preprod.logistics_stock_bv,
picked_date,Timestamp or date indicating when picked date occurred.,"analytics_insight_preprod.logistics_stock_bv.""picked_date""",analytics_insight_preprod.logistics_stock_bv,
dedup,Data representing the dedup.,"analytics_insight_preprod.logistics_stock_bv.""dedup""",analytics_insight_preprod.logistics_stock_bv,
rn_order,Data representing the rn order.,"analytics_insight_preprod.logistics_stock_bv.""rn_order""",analytics_insight_preprod.logistics_stock_bv,
Cancellation Attributed to,Timestamp or date indicating when cancellation attributed to occurred.,"analytics_insight_preprod.logistics_stock_bv.""Cancellation Attributed to""",analytics_insight_preprod.logistics_stock_bv,
Cancellation By,Timestamp or date indicating when cancellation by occurred.,"analytics_insight_preprod.logistics_stock_bv.""Cancellation By""",analytics_insight_preprod.logistics_stock_bv,
Cancel sec,Data representing the cancel sec.,"analytics_insight_preprod.logistics_stock_bv.""Cancel sec""",analytics_insight_preprod.logistics_stock_bv,
