Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
provider_key,Unique identifier for provider key.,"prod.logistics_providers.""provider_key""",prod.logistics_providers,
order_date,Timestamp or date indicating when order date occurred.,"prod.logistics_providers.""order_date""",prod.logistics_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_providers.""seller_state_code""",prod.logistics_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_providers.""seller_state""",prod.logistics_providers,
seller_district,Data representing the seller district.,"prod.logistics_providers.""seller_district""",prod.logistics_providers,
"▼ monthly_providers   (base table, 6 cols)",,,prod.monthly_providers,
provider_key,Unique identifier for provider key.,"prod.monthly_providers.""provider_key""",prod.monthly_providers,
seller_district,Data representing the seller district.,"prod.monthly_providers.""seller_district""",prod.monthly_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.monthly_providers.""seller_state""",prod.monthly_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.monthly_providers.""seller_state_code""",prod.monthly_providers,
order_month,Data representing the order month.,"prod.monthly_providers.""order_month""",prod.monthly_providers,
order_year,Data representing the order year.,"prod.monthly_providers.""order_year""",prod.monthly_providers,
"▼ ondc_dashboard_version   (base table, 6 cols)",,,prod.ondc_dashboard_version,CREATE UNIQUE INDEX ondc_dashboard_version_pkey ON prod.ondc_dashboard_version USING btree (id)
id,Unique identifier for id.,"prod.ondc_dashboard_version.""id""",prod.ondc_dashboard_version,
major,Data representing the major.,"prod.ondc_dashboard_version.""major""",prod.ondc_dashboard_version,
minor,Data representing the minor.,"prod.ondc_dashboard_version.""minor""",prod.ondc_dashboard_version,
minor_minor,Data representing the minor minor.,"prod.ondc_dashboard_version.""minor_minor""",prod.ondc_dashboard_version,
run_date,Timestamp or date indicating when run date occurred.,"prod.ondc_dashboard_version.""run_date""",prod.ondc_dashboard_version,
hot_fix_file_name,Name of the hot fix file.,"prod.ondc_dashboard_version.""hot_fix_file_name""",prod.ondc_dashboard_version,
"▼ retail_b2b_district_level_orders   (base table, 6 cols)",,,prod.retail_b2b_district_level_orders,"CREATE INDEX retail_b2b_district_level_orders_delivery_state_idx ON prod.retail_b2b_district_level_orders USING btree (delivery_state)

CREATE INDEX retail_b2b_district_level_orders_order_date_idx ON prod.retail_b2b_district_level_orders USING btree (order_date)

CREATE INDEX retail_b2b_district_level_orders_delivery_district_idx ON prod.retail_b2b_district_level_orders USING btree (delivery_district)"
order_date,Timestamp or date indicating when order date occurred.,"prod.retail_b2b_district_level_orders.""order_date""",prod.retail_b2b_district_level_orders,
delivery_district,Data representing the delivery district.,"prod.retail_b2b_district_level_orders.""delivery_district""",prod.retail_b2b_district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.retail_b2b_district_level_orders.""delivery_state""",prod.retail_b2b_district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.retail_b2b_district_level_orders.""delivery_state_code""",prod.retail_b2b_district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod.retail_b2b_district_level_orders.""total_orders_delivered""",prod.retail_b2b_district_level_orders,
total_items,Data representing the total items.,"prod.retail_b2b_district_level_orders.""total_items""",prod.retail_b2b_district_level_orders,
